DATE,MAX_TEMPERATURE_C
04052012,22
05052012,23
06052012,21
07052012,23
08052012,26
09052012,30
10052012,32
11052012,31
12052012,31
13052012,31
14052012,30
15052012,34
16052012,33
17052012,32
18052012,25
19052012,22
20052012,20
21052012,21
22052012,24
23052012,28
24052012,29
25052012,25
26052012,22
27052012,24
28052012,25
29052012,26
30052012,26
31052012,28
01062012,26
02062012,24
03062012,25
04062012,26
05062012,27
06062012,28
07062012,25
08062012,23
09062012,24
10062012,26
11062012,27
12062012,23
13062012,25
14062012,25
15062012,25
16062012,26
17062012,26
18062012,27
19062012,25
20062012,26
21062012,26
22062012,26
23062012,29
24062012,32
25062012,33
26062012,37
27062012,34
28062012,31
29062012,27
30062012,23
01072012,26
02072012,29
03072012,30
04072012,29
05072012,27
06072012,28
07072012,28
08072012,28
09072012,27
10072012,26
11072012,27
12072012,29
13072012,29
14072012,28
15072012,29
16072012,34
17072012,37
18072012,34
19072012,31
20072012,32
21072012,32
22072012,32
23072012,30
24072012,28
25072012,26
26072012,26
27072012,26
28072012,27
29072012,28
30072012,31
31072012,31
01082012,30
02082012,30
03082012,32
04082012,31
05082012,27
06082012,27
07082012,30
08082012,30
09082012,32
10082012,37
11082012,33
12082012,31
13082012,29
14082012,28
15082012,28
16082012,29
17082012,30
18082012,31
19082012,31
20082012,36
21082012,37
22082012,33
23082012,30
24082012,29
25082012,28
26082012,30
27082012,29
28082012,29
29082012,29
30082012,28
31082012,30
01092012,32
02092012,33
03092012,31
04092012,31
05092012,30
06092012,29
07092012,28
08092012,29
09092012,27
10092012,27
11092012,27
12092012,29
13092012,31
14092012,31
15092012,32
16092012,31
17092012,30
18092012,29
19092012,28
20092012,29
21092012,28
22092012,32
23092012,31
24092012,28
25092012,28
26092012,29
27092012,24
28092012,24
29092012,24
30092012,27
01102012,27
02102012,28
03102012,28
04102012,28
05102012,28
06102012,28
07102012,30
08102012,30
09102012,31
10102012,29
11102012,27
12102012,25
13102012,24
14102012,25
15102012,23
16102012,26
17102012,27
18102012,27
19102012,22
20102012,23
21102012,24
22102012,30
23102012,32
24102012,27
25102012,25
26102012,24
27102012,23
28102012,23
29102012,22
30102012,22
31102012,24
01112012,24
02112012,25
03112012,26
04112012,28
05112012,26
06112012,24
07112012,23
08112012,22
09112012,22
10112012,20
11112012,20
12112012,20
13112012,22
14112012,24
15112012,27
16112012,25
17112012,21
18112012,19
19112012,20
20112012,21
21112012,23
22112012,21
23112012,25
24112012,24
25112012,25
26112012,23
27112012,17
28112012,16
29112012,16
30112012,15
01122012,15
02122012,16
03122012,17
04122012,19
05122012,19
06122012,19
07122012,17
08122012,21
09122012,20
10122012,22
11122012,21
12122012,19
13122012,19
14122012,20
15122012,22
16122012,22
17122012,21
18122012,23
19122012,23
20122012,24
21122012,22
22122012,24
23122012,26
24122012,26
25122012,18
26122012,17
27122012,18
28122012,23
29122012,20
30122012,19
31122012,18
01012013,17
02012013,18
03012013,18
04012013,21
05012013,22
06012013,21
07012013,19
08012013,19
